3	147	135	0.918367	36	120
6	376.333	348.667	0.926484	119	122
9	1126	1119	0.993783	140	124
12	667	636	0.953523	2	123
15	0	0	-nan	2	123
18	0	0	-nan	2	123
21	0	0	-nan	2	123
24	29.6667	5.33333	0.179775	10	123
27	214	89	0.415888	16	123
30	122.333	108	0.882834	15	123
33	123.667	114	0.921833	11	123
36	125	113.667	0.909333	16	123
39	127.333	116.333	0.913613	18	123
42	122	113.333	0.928962	16	123
3	147	135	0.918367	36	120
6	376.333	348.667	0.926484	119	122
9	1126	1119	0.993783	140	124
12	1077	849.667	0.78892	196	123
15	1488	580.667	0.390233	307	123
18	2101.67	792.667	0.377161	413	123
21	2633.67	894.667	0.339704	500	123
24	2803.67	459.667	0.163952	500	123
27	3103	640	0.206252	492	122
30	3380.33	662	0.195839	496	122
3	146.667	135	0.920455	36	120
6	376.333	348.667	0.926484	119	122
9	1126	1119	0.993783	140	124
12	1053.67	884.667	0.839608	158	124
15	1156.67	1161	1.00375	145	124
18	1164	1163.33	0.999427	147	124
21	1143	1147.33	1.00379	132	124
24	705.333	288.333	0.40879	139	124
27	602.667	209.333	0.347345	143	124
30	589	185.667	0.315224	147	124
33	573	176.333	0.307737	151	124
36	585.333	175.667	0.300114	154	124
39	588.333	172	0.292351	157	124
42	659	215.667	0.327264	162	124
