3	0	0	-nan	0	0
6	0	0	-nan	0	0
9	0	0	-nan	0	0
3	0	0	-nan	0	0
6	0	0	-nan	0	0
9	0	0	-nan	0	0
12	666.667	307.333	0.461	0	616
15	1000	558.333	0.558333	0	738
18	1000	571.333	0.571333	0	765
21	1000	567.333	0.567333	0	777
24	1000	570.667	0.570667	0	784
27	1000	572	0.572	0	788
30	1000	575.667	0.575667	0	791
33	1000	582.333	0.582333	0	794
36	1000	582.333	0.582333	0	795
39	1000	582.667	0.582667	0	797
42	1000	582.333	0.582333	0	798
3	0	0	-nan	5	0
6	0	0	-nan	5	0
9	0	0	-nan	5	0
12	666.667	315.667	0.4735	450	603
15	1000	556.667	0.556667	450	730
18	1000	554	0.554	450	759
21	1000	559.333	0.559333	450	772
24	1000	559.667	0.559667	450	778
27	1000	568	0.568	450	780
30	1000	573.667	0.573667	450	780
33	1000	577	0.577	450	779
36	1000	579.667	0.579667	450	778
39	1000	579.333	0.579333	450	778
42	1000	580	0.58	450	777
3	0	0	-nan	5	0
6	0	0	-nan	5	0
9	0	0	-nan	5	0
12	666.667	306	0.459	500	603
15	1000	544.667	0.544667	500	716
18	1000	556	0.556	500	735
21	1000	560.667	0.560667	500	738
24	1000	566.667	0.566667	500	740
27	1000	571	0.571	500	737
30	1000	574.667	0.574667	500	736
3	0	0	-nan	5	0
6	0	0	-nan	5	0
9	0	0	-nan	5	0
12	470.333	302.667	0.643515	400	542
15	785	545	0.694268	371	464
18	886.333	583	0.657766	399	445
21	909	583.333	0.641731	383	437
24	713.667	582.333	0.815974	400	457
27	713	583	0.817672	400	473
30	701.667	582.333	0.829929	400	485
33	701.333	582.667	0.830798	400	493
36	704.333	582.333	0.826787	400	500
39	701.667	582.667	0.830404	400	505
42	711	583	0.819972	400	509
