3	781	757	0.96927	74	58
6	1777.33	1740.67	0.97937	184	56
9	2666	2668.33	1.00088	176	61
12	2058.33	1775	0.862348	449	87
15	625.667	584.667	0.93447	449	140
18	609.667	583.667	0.957354	449	185
21	588.333	583.333	0.991501	447	224
24	654	603	0.922018	444	257
27	981	747.667	0.762147	449	282
30	902	839.333	0.930525	447	301
33	889.333	826.333	0.92916	444	318
36	904.667	851.667	0.941415	450	331
39	897.333	843.667	0.940193	450	343
42	895	849	0.948603	437	354
3	781	757	0.96927	74	58
6	1777.33	1740.67	0.97937	184	56
9	2666	2668.33	1.00088	176	61
12	2730	2145.33	0.785836	500	86
15	2530.33	1474	0.582532	498	128
18	2963	1648	0.556193	499	155
21	3359.33	1852.67	0.551498	500	173
24	3579	2084.33	0.582379	490	182
27	3640.67	2179.33	0.598608	497	188
30	3673	2092.67	0.569743	487	193
3	781	757	0.96927	74	58
6	1777.33	1740.67	0.97937	184	56
9	2666	2668.33	1.00088	176	61
12	1956.67	1908.67	0.975468	321	86
15	1745.33	1745.33	1	321	105
18	1747	1747.33	1.00019	321	117
21	1727	1727.33	1.00019	320	126
24	895.667	898.333	1.00298	312	141
27	927.333	924.333	0.996765	320	154
30	881	881.333	1.00038	318	166
33	900	901.333	1.00148	315	177
36	904	902.667	0.998525	318	186
39	893.667	894.333	1.00075	317	194
42	952.667	951.333	0.9986	320	201
