3	135	135	1	36	39
6	378.333	360	0.951542	56	39
9	1121.33	1124	1.00238	49	39
12	604	619.667	1.02594	2	39
15	0	0	-nan	2	39
18	0	0	-nan	2	39
21	0	0	-nan	2	39
24	6	6	1	9	39
27	92.6667	88.6667	0.956835	13	39
30	106	107.667	1.01572	8	39
33	114.333	116.667	1.02041	13	39
36	116	114.667	0.988506	16	39
39	114	112.667	0.988304	9	39
42	115.333	118	1.02312	16	39
3	135	135	1	36	39
6	378.333	360	0.951542	56	39
9	1121.33	1124	1.00238	49	39
12	832	840.667	1.01042	22	39
15	584.667	583.333	0.997719	32	39
18	798.667	796.333	0.997078	34	39
21	890.667	890.667	1	33	39
24	452.667	457.667	1.01105	17	40
27	645.667	644.333	0.997935	22	40
30	661	659.667	0.997983	25	40
3	135	135	1	36	39
6	378.333	360	0.951542	56	39
9	1121.33	1124	1.00238	49	39
12	889	889.333	1.00037	47	40
15	1157	1156.33	0.999424	49	40
18	1164	1164.33	1.00029	49	40
21	1131.33	1138.67	1.00648	26	40
24	278.667	284.333	1.02033	14	40
27	206.667	207	1.00161	9	40
30	185.667	186	1.0018	8	40
33	177.667	176.333	0.992495	13	40
36	175.333	175.667	1.0019	10	40
39	171	171.667	1.0039	10	40
42	217	215.667	0.993856	14	40
