3	94.6667	94.6667	1	24	38
6	244	244	1	25	39
9	379.667	372.667	0.981563	22	39
12	709	707	0.997179	29	39
15	585	586	1.00171	26	39
18	584.333	584.667	1.00057	25	39
21	583	582.667	0.999428	25	39
24	580	579.667	0.999425	27	39
27	580.333	580.667	1.00057	25	39
30	581.667	581.333	0.999427	27	39
33	582.667	582	0.998856	28	39
36	581.333	582.667	1.00229	25	39
39	582.667	582.333	0.999428	26	39
42	582.667	582	0.998856	28	39
3	94.6667	94.6667	1	24	38
6	244	244	1	25	39
9	379.667	372.667	0.981563	22	39
12	710.333	709.667	0.999061	25	39
15	581.333	581.333	1	24	39
18	581	580.667	0.999426	26	39
21	579	579.333	1.00058	25	39
24	577	579.667	1.00462	17	39
27	587	584.667	0.996025	23	39
30	582.667	583	1.00057	23	39
3	94.6667	94.6667	1	24	38
6	244	244	1	25	39
9	379.667	372.667	0.981563	22	39
12	629.333	627.667	0.997352	28	39
15	588.333	589.667	1.00227	25	39
18	583.333	583	0.999429	25	39
21	598.667	597	0.997216	30	39
24	588.333	591	1.00453	21	39
27	587.333	586	0.99773	26	39
30	581	580.333	0.998853	28	39
33	582.667	584.333	1.00286	24	39
36	583.333	581.667	0.997143	28	39
39	582.333	582.333	1	27	39
42	582.333	582.667	1.00057	27	39
