1	0	0	-nan	0	0
2	14.7	14.7	1	0	0
1	0	0	-nan	0	0
2	14.7	14.7	1	0	0
3	50.4	50.4	1	0	0
4	45.8	45.8	1	0	0
5	41	41	1	0	0
6	37.4	37.4	1	0	0
7	36.3	36.3	1	0	0
8	33.1	33.1	1	0	0
9	33.3	33.3	1	0	0
1	0	0	-nan	0	0
2	14.7	14.7	1	0	0
3	50.4	50.4	1	0	0
4	45.8	45.8	1	0	0
5	41	41	1	0	0
6	37.4	37.4	1	0	0
7	36.3	36.3	1	0	0
8	33.1	33.1	1	0	0
9	33.3	33.3	1	0	0
1	0	0	-nan	0	0
2	14.7	14.7	1	0	0
3	50.4	50.4	1	0	0
4	45.8	45.8	1	0	0
5	41	41	1	0	0
6	37.4	37.4	1	0	0
7	36.3	36.3	1	0	0
8	33.1	33.1	1	0	0
9	33.3	33.3	1	0	0
3	94.6667	94.6667	1	0	0
6	244	244	1	0	0
9	375.333	375.333	1	0	0
12	276	276	1	0	0
15	19.6667	19.6667	1	0	0
3	94.6667	94.6667	1	0	0
6	244	244	1	0	0
3	94.6667	94.6667	1	0	0
6	244	244	1	0	0
9	375.333	375.333	1	0	0
12	283	276	0.975265	0	0
15	54	19.6667	0.364198	0	0
18	40.3333	11.6667	0.289256	0	0
21	34.6667	13.3333	0.384615	0	0
24	22.3333	9.33333	0.41791	0	0
27	21.6667	11.6667	0.538462	0	0
30	11.6667	6	0.514286	0	0
33	1.66667	0.666667	0.4	0	0
36	0	0	-nan	0	0
39	0	0	-nan	0	0
42	0.333333	0	0	0	0
