1	0	0	-nan	0	0
2	14.7	9.4	0.639456	0	123
1	0	0	-nan	0	0
2	14.7	9.4	0.639456	0	123
3	50.5	50	0.990099	0	147
4	45.6	45.9	1.00658	28	137
5	41.6	42.1	1.01202	24	134
6	36.7	37.3	1.01635	26	133
7	36.5	36.3	0.994521	23	131
8	33.3	33.8	1.01502	23	130
9	33.4	33.4	1	21	129
1	0	0	-nan	0	0
2	14.7	9.4	0.639456	0	123
3	50.5	50	0.990099	0	147
4	45.6	45.9	1.00658	28	137
5	41.6	42.1	1.01202	24	134
6	36.7	37.3	1.01635	26	133
7	36.5	36.3	0.994521	23	131
8	33.3	33.8	1.01502	23	130
9	33.4	33.4	1	21	129
1	0	0	-nan	0	0
2	14.7	9.4	0.639456	0	123
3	50.5	50	0.990099	0	147
4	45.6	45.9	1.00658	28	137
5	41.6	42.1	1.01202	24	134
6	36.7	37.3	1.01635	26	133
7	36.5	36.3	0.994521	23	131
8	33.3	33.8	1.01502	23	130
9	33.4	33.4	1	21	129
3	146.667	135	0.920455	18	120
6	376.333	348.667	0.926484	18	122
9	1126	1119	0.993783	70	124
12	1134.67	1136	1.00118	67	124
15	1116	1115.33	0.999403	68	123
3	147	135	0.918367	0	120
6	376.333	348.667	0.926484	0	122
3	147	135	0.918367	0	120
6	376.333	348.667	0.926484	0	122
9	1126	1119	0.993783	0	124
12	1134.67	1136	1.00118	0	124
15	1116	1115.33	0.999403	0	123
18	1128.33	1128	0.999705	0	123
21	1131.33	1133	1.00147	0	123
24	1119.67	1118.33	0.998809	0	123
27	1127	1126.67	0.999704	0	123
30	1136.67	1140	1.00293	0	123
33	1113	1110	0.997305	0	123
36	1126	1125.67	0.999704	0	123
39	1142.67	1138.33	0.996208	0	123
42	1109.33	1114	1.00421	0	123
