1	0	0	-nan	0	0
2	8.7	6.9	0.793103	0	109
1	0	0	-nan	0	0
2	8.7	6.9	0.793103	0	109
3	16.9	16.4	0.970414	11	135
4	21.9	21.1	0.96347	15	131
5	31.6	30.4	0.962025	16	129
6	40.5	39.7	0.980247	24	128
7	44.4	43.6	0.981982	29	127
8	42	42.3	1.00714	29	126
9	50.2	48.4	0.964143	28	125
1	0	0	-nan	0	0
2	8.7	6.9	0.793103	0	109
3	16.9	16.4	0.970414	11	135
4	21.9	21.1	0.96347	15	131
5	31.6	30.4	0.962025	16	129
6	40.5	39.7	0.980247	24	128
7	44.4	43.6	0.981982	29	127
8	42	42.3	1.00714	29	126
9	50.2	48.4	0.964143	28	125
1	0	0	-nan	0	0
2	8.7	6.9	0.793103	0	109
3	16.9	16.4	0.970414	11	135
4	21.9	21.1	0.96347	15	131
5	31.6	30.4	0.962025	16	129
6	40.5	39.7	0.980247	24	128
7	44.4	43.6	0.981982	29	127
8	42	42.3	1.00714	29	126
9	50.2	48.4	0.964143	28	125
3	0	0	-nan	0	0
6	0	0	-nan	0	0
9	0	0	-nan	0	0
12	666.667	307.333	0.461	411	616
15	1000	558.333	0.558333	415	738
3	0	0	-nan	0	0
6	0	0	-nan	0	0
3	0	0	-nan	0	0
6	0	0	-nan	0	0
9	0	0	-nan	0	0
12	666.667	307.333	0.461	0	616
15	1000	558.333	0.558333	0	738
18	1000	571.333	0.571333	0	765
21	1000	567.333	0.567333	0	777
24	1000	570.667	0.570667	0	784
27	1000	572	0.572	0	788
30	1000	575.667	0.575667	0	791
33	1000	582.333	0.582333	0	794
36	1000	582.333	0.582333	0	795
39	1000	582.667	0.582667	0	797
42	1000	582.333	0.582333	0	798
