3	781	757	0.96927	38	58
6	1777.33	1740.67	0.97937	53	56
9	2666	2668.33	1.00088	85	61
12	3185.67	2823.33	0.886261	498	85
15	3300	2825.67	0.856263	488	117
3	781	757	0.96927	0	58
6	1777.33	1740.67	0.97937	0	56
3	781	757	0.96927	0	58
6	1777.33	1740.67	0.97937	0	56
9	2666	2668.33	1.00088	0	61
12	3185.67	2823.33	0.886261	0	85
15	3300	2825.67	0.856263	0	117
18	3289.33	2836	0.862181	0	135
21	3277	2829.67	0.863493	0	148
24	3261	2819	0.864459	0	157
27	3271.67	2834.67	0.866429	0	163
30	3273.67	2847	0.869667	0	168
33	3225.67	2804.67	0.869484	0	172
36	3244.33	2825	0.870749	0	175
39	3266.67	2847	0.871531	0	178
42	3235	2819.33	0.87151	0	180
